## Torsion are defined with the following atomIDs:
# dihed1: ai= 6428 aj= 6429 ak= 6430 al= 12551
# dihed2: ai= 6410 aj= 6409 ak= 6408 al= 6407
# dihed3: ai= 6427 aj= 6411 ak= 6412 al= 6413
# dihed4: ai= 6412 aj= 6413 ak= 6414 al= 6416
# dihed5: ai= 6413 aj= 6414 ak= 6416 al= 6417
# dihed6: ai= 6414 aj= 6416 ak= 6417 al= 6418
# dihed7: ai= 6416 aj= 6417 ak= 6418 al= 6419
# dihed8: ai= 6417 aj= 6418 ak= 6419 al= 12543
# dihed9: ai= 6419 aj= 6418 ak= 6420 al= 6421
# dihed10: ai= 6422 aj= 6423 ak= 6424 al= 12546
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
144  -15.626 -100.824  -53.650 -155.686 -179.825 -104.080  -52.575   33.737  -92.361  -16.089
145  -76.854  -93.765  -25.341 -168.699  166.437 -111.684  -70.500   77.523  -54.737   18.074
146  -42.573  -86.325   -5.827 -165.587  176.089 -161.959  -34.157   37.493  -57.031    6.464
147  -21.052 -105.150  -20.153 -167.276 -169.954 -120.234  -56.585   45.101  -90.498   15.581
148   -5.313  -90.421  -13.268 -161.344 -177.811  -85.382  -61.326   81.322 -120.396   24.813
149    0.958  -88.727  -12.132 -176.259  179.470  -86.941  -41.960   41.450 -139.353   34.836
150  -18.382 -105.033  -10.698 -174.340  175.994 -149.421  -48.404   29.575  -52.340    5.180
151   -1.843  -98.834  -11.474 -174.756 -178.227  -67.007  -67.365   59.815 -112.297   12.932
152   -4.277  -93.228    1.687  168.248 -177.515 -143.515  -61.067   46.616  -79.229   -7.244
153    8.878  -86.244    1.021  162.215 -170.878  -65.316  -55.632   68.925 -138.089  -26.930
154  -17.033 -105.475  -36.928 -150.214 -170.666 -151.586  -61.200   34.433  -51.940    8.801
155   -5.033 -105.107  -17.989 -161.689 -176.742  173.370  -47.910   63.647  -31.534   35.027
156  -12.985 -102.443    4.669  175.691  179.461  -73.763  -49.905   62.538 -143.703    4.396
157   -8.631  -94.384  -10.083  178.458 -161.011 -114.788  -69.679   33.840  -87.533   -5.277
158  -17.672  -78.788  -34.073 -167.553 -172.386  -86.246  -46.354   51.006 -134.379   25.236
159  -10.341  -96.392  -18.265  165.214 -175.750  -57.664  -56.110   85.617 -152.772  161.703
160  -12.855 -107.815    3.267  170.699 -165.448  -67.276  -43.438   96.189 -148.329 -172.962
161  -15.190  -87.190  -17.741  179.993 -177.894  179.235  -61.065  -58.886  -16.903 -166.884
162  -29.215  -90.172  -12.145 -171.391 -164.836 -170.653  -57.436   74.360  -28.040  162.002
163  -11.386 -109.377  -20.927 -150.549 -170.594  -82.288  -56.156   81.689 -161.670  179.492
164   -5.791  -93.439  -12.940 -161.759 -179.547  -84.778  -57.152   99.827 -126.965  175.883
165  -10.965  -91.927  -15.210  173.376  178.285 -155.626  -55.739  100.145  -29.668 -154.247
166   -5.599 -102.215  -10.302 -177.342 -172.682  -84.600  -47.335   26.786 -151.063  154.975
167  -12.907  -57.125  -44.192 -174.676 -174.244  -88.974  -69.621  175.471  -72.754  173.025
168  -11.324  -75.683  -37.884 -168.167 -163.126 -100.671  -51.815  154.865 -103.562    8.389
169   -3.228  -68.560  -13.860  168.771 -164.402  -95.450  -44.923   49.615 -127.428 -176.119
170    3.366  -96.178  -26.904 -177.321 -172.382 -133.538  -70.851   55.510  -77.995  155.900
171   -9.985  -90.496  -32.506 -165.477 -172.053 -153.637  -63.487   50.400  -66.787 -149.828
172  -19.560  -87.702  -39.663 -147.126  176.718 -162.284  -48.902   56.740  -57.704   38.345
173   -4.121  -83.443  -21.759 -164.996 -174.833  -92.991  -49.239   43.931 -116.629   16.539
174  -20.544  -90.693  -20.433  177.066 -176.518  -75.788  -57.122   34.307 -130.210   13.364
175  -11.189 -106.741   -8.640  172.988 -161.714  -69.052  -42.688   60.137 -142.217    1.151
176  -21.375  -90.164  -22.131 -161.422 -178.182  -82.492  -47.721   76.665 -146.630 -133.220
177   -8.728  -90.605  -26.792 -164.850 -166.223  -87.596  -47.093   62.102 -112.313   17.420
178  -13.183  -85.207  -34.173 -159.615 -172.220 -140.957  -60.231   42.125  -61.227   -6.083
179   -2.058 -110.951  -44.110 -175.411 -178.858 -133.135  -72.714   69.356  -49.180    6.389
180    9.322  -97.890   -8.216  176.406 -175.813 -131.429  -72.163   17.965  -90.533  -21.037
181    5.744  -72.817  -37.675 -172.817  179.491 -103.384  -68.482   52.314  -75.181   -3.869
182    2.368 -107.754   -6.965  177.059  179.042  -70.430  -60.013   34.866 -139.980  -33.998
183   14.086 -113.308  -30.969 -161.632  176.709 -121.527  -75.614   63.485  -67.892 -155.879
184  -29.288 -102.466  -17.767 -179.949 -174.716  -62.535  -51.324   73.996 -129.909   26.774
185  -11.319  -97.114  -16.138  176.212 -177.188  -90.160  -55.743   64.501 -119.776   -5.225
186  -49.312 -115.414  -20.592 -153.077 -173.681  -80.534  -48.015   87.498 -147.091    2.060
187   -4.505 -117.042  -37.239 -167.100 -174.893  -85.118  -67.912   48.870  -94.057  -26.408
188   -5.663 -117.487   -5.847 -173.727 -164.495  -93.727  -43.162   71.125 -148.214   -2.654
189  -33.092  -98.089  -18.876 -160.741  176.076  -56.750  -81.168   65.930 -179.967    3.068
190  -14.169  -64.433  -21.523  172.480  172.798 -123.441  -67.568   66.436  -59.390 -167.801
191  -13.852  -91.355   -8.193 -173.671 -176.015 -161.447  -58.651   63.053  -54.089    9.003
192  -39.805 -100.843  -23.970 -155.897 -178.190 -161.522  -51.967   45.838  -65.314  -20.261
193  -13.247  -91.138  -35.624 -150.388  171.698 -145.610  -50.612   41.953 -110.817   -3.336
194    1.160 -105.630  -27.449  179.163 -177.397 -141.203  -61.307   52.545  -95.728   14.223
195   -1.334  -91.209  -32.679 -153.226  179.829 -167.346  -44.406   62.409  -41.348  -27.384
196  -13.883 -104.100  -30.201 -177.618 -177.541 -140.856  -60.541   60.342  -28.495    2.623
197  -27.756  -88.761  -11.760 -157.707  176.279 -161.379  -64.813   49.196  -46.634    6.320
198  -24.688 -105.519  -29.187 -167.181  174.359 -179.414  -50.415   82.799  -36.729  -37.581
199   -4.316 -107.328  -22.387 -178.893 -175.099 -149.025  -61.741   60.996  -66.695    2.250
200    0.497 -106.574  -17.268 -168.482  178.826 -168.557  -63.817   58.011  -56.453  -11.668
201  -19.958  -85.771  -19.724 -177.821  170.180 -115.874  -64.222   50.577  -74.623   14.812
202   -8.856  -98.699  -19.717 -171.420 -179.611 -149.353  -65.170   54.071  -51.850    5.916
203    7.870  -96.680  -38.741 -158.883 -178.866 -155.582  -49.150   44.142  -59.107  -11.793
204  -17.866 -114.425  -27.541 -158.700 -167.546 -142.365  -68.873   49.640  -81.229    9.957
205  -54.223  -87.911  -24.378 -155.702  166.540 -157.085  -51.414   61.478  -51.713  -11.141
206    8.990 -110.934  -30.879 -174.759 -165.753 -141.266  -79.092   50.905  -70.828   -5.260
207  -11.819 -100.239  -18.879 -164.646 -164.419  -71.342  -65.555   87.947  168.529  -51.889
208  -22.188  -90.837  -20.629 -166.746 -179.798  -74.206  -52.998   81.882  174.260  -21.655
209  -26.701 -110.214   10.445 -159.785 -173.774  -68.950  -66.048   51.926  133.850  167.192
210   -7.715  -86.267  -26.407 -163.764  178.724  -79.617  -50.006   86.594 -148.442  -83.625
211   -0.141  -95.368  -16.855  174.382  170.197  -57.117  -64.825   97.853   74.267 -178.929
212  -10.114  -89.788  -33.681 -158.543 -178.063 -146.820  -42.879   38.744  121.209 -161.691
213   20.025 -114.981  -32.165 -171.154 -175.918  -75.716  -62.745   56.492   50.882 -156.885
214  -12.523  -95.797  -27.381 -171.169 -164.755  -92.784  -52.094   49.674   51.712 -168.426
215    7.015  -89.442  -28.338 -176.481 -175.645  -79.606  -61.765   26.198   39.183  167.748
216  -13.343  -95.687  -22.726 -167.292 -175.074  -66.133  -38.067   67.713   16.682  -21.953
217  -15.377 -105.005  -22.146 -173.403 -169.932  -68.942  -63.639   82.345   44.886 -168.272
218   -8.948  -92.513  -35.966  179.214 -164.639  -84.629  -44.731   67.707   41.658 -169.150
219   -1.802 -114.977  -33.870  172.461 -178.568  -79.607  -47.966   17.918   69.635  -45.088
220   13.619  -84.585  -20.457 -161.713  179.689 -159.081  -73.487   49.064  145.218   23.202
221   15.959  -86.444  -13.413 -179.330  173.234  -76.927  -65.636   51.704   61.058 -142.256
222  -13.705 -111.425  -26.346 -178.069  177.046  -69.091  -42.930   46.739   41.576 -139.117
223  -27.382  -90.203  -20.951 -163.188  174.708  -89.822  -65.594   48.831   75.372  176.503
224  -20.320  -69.076   14.105  158.868  166.390  -75.046  -57.108  100.962   69.298 -171.195
